"id","version","firstname","lastname","birthday","gender","phonenumber","email","zip","country","street","streetnumber","city","socialsecuritynumber"
"0138736b-db68-4828-809a-93a11939bb67","2","Anne","Hansen","1996-07-05","FEMALE","3-(315)950-4798","ahansend@harvard.edu",NULL,"Ukraine","Grayhawk","6937","L'viv","9077"
"11a1bf06-e16c-48bc-89d4-927cdcf99234","0","Willie","Gray","1952-07-25","FEMALE","1-(840)104-6036","wgrayb@bbb.org",NULL,"Croatia","Helena","89750","Jablanovec","8652"
"18f6bf10-52d9-403a-b97c-fd3fce8b4020","20","Antonio","Flores","1988-08-18","FEMALE","7-(789)430-0962","aflorese@yale.edu",NULL,"Argentina","Waywood","74174","Puerta de Corral Quemado","7577"
"1fbdc964-3e49-426c-924c-b101a12a10b6","8","Anna","Brown","2000-04-30","FEMALE","8-(792)628-6016","abrown7@plala.or.jp",NULL,"Philippines","Delladonna","53723","Salcedo","4666"
"22b0c43e-36ee-45f5-9df7-be248b5b3946","5","Joan","Perez","1967-08-11","MALE","9-(201)626-0722","jperezg@paypal.com","4660-215","Portugal","Corscot","07388","Resende","8684"
"297d1b2f-a57d-4989-b711-0de302fce9b9","10","Sarah","Tucker","1952-02-12","FEMALE","8-(466)907-0850","stucker4@newyorker.com",NULL,"China","South","65","Jianping","6018"
"36056db0-30f3-4b26-ba9d-4bbde324ef26","18","Maria","Anderson","1990-12-27","MALE","2-(206)594-3129","manderson8@examiner.com",NULL,"Belarus","Texas","267","Horad Smalyavichy","4331"
"40c5d5d2-a007-4014-a939-ffa6968ce9af","7","Frances","George","1952-03-06","MALE","8-(500)382-8203","fgeorge0@angelfire.com","92041 CEDEX","France","Myrtle","2516","Paris La Défense","3731"
"5aab8028-3fef-43ac-b76f-b94f5f0e1678","5","Phyllis","Thomas","2003-07-24","FEMALE","1-(039)964-8800","pthomas9@tmall.com",NULL,"South Africa","Toban","17","Caledon","6087"
"68a96756-1f36-4b8d-96a1-143dc526b9e5","15","Theresa","Mendoza","1960-11-29","FEMALE","6-(517)843-2823","tmendozaa@zimbio.com",NULL,"Indonesia","Grover","140","Muesanaik","2634"
"86406c98-60bf-4a7a-92dc-cd2555e01d93","14","Karen","Wagner","1968-08-11","MALE","1-(800)102-3799","kwagnerj@amazon.de",NULL,"Philippines","Meadow Ridge","474","San Casimiro","998"
"8cbf30e9-06e7-4f3f-b2ab-dedef6c5a590","15","Jose","Kennedy","1971-08-07","MALE","7-(534)982-6392","jkennedy1@seesaa.net",NULL,"Syria","Heath","04","Al Quţayfah","9623"
"ad01032c-c7d1-4423-887b-57c4800472a9","4","Steven","Ray","1977-02-21","FEMALE","0-(037)887-5139","srayi@zdnet.com",NULL,"Indonesia","Valley Edge","050","Randusari","7736"
"ad093825-5775-46f1-8b7a-aecbb6528ae5","11","Julia","Medina","1960-10-20","FEMALE","3-(051)033-0919","jmedina3@gnu.org",NULL,"Canada","Fair Oaks","61","Kelowna","4927"
"b352c867-9b66-418a-b56b-9308398887f1","14","Sharon","Morris","1956-10-08","FEMALE","1-(832)788-7528","smorrish@twitter.com",NULL,"Argentina","Reindahl","57895","San Vicente","7761"
"d2a6c3bb-fefb-454d-a90d-f644c4eccc1b","5","Jonathan","Reyes","1979-04-27","MALE","5-(937)682-8366","jreyesc@about.com",NULL,"Dominican Republic","Twin Pines","80284","Santo Domingo Oeste","2610"
"e4952572-4e53-4d32-8b08-5a6965f328e5","0","Laura","Montgomery","1967-09-19","MALE","2-(846)524-4330","lmontgomery6@forbes.com",NULL,"Azerbaijan","Sachtjen","761","Martakert","307"
"f0efa094-968b-4f57-b48c-c765b3df39ba","17","Louis","Thomas","2007-07-16","MALE","2-(560)240-5399","lthomas2@webeden.co.uk",NULL,"Afghanistan","Troy","9322","Sangar Sarāy","2447"
"f104a26e-8501-486f-9537-0dd5ed7d014b","0","Keith","Gilbert","1996-09-30","MALE","5-(911)683-8923","kgilbertf@jimdo.com","74009 CEDEX","France","Sachtjen","6572","Annecy","5763"
"f176117a-8738-4646-a80e-6f92424212d9","3","Lawrence","Daniels","1970-06-27","MALE","9-(140)162-4664","ldaniels5@google.es",NULL,"China","Colorado","49","Nianyushan","4246"
